mmyyyy,precio
012025,7865
022025,7879
032025,7916
042025,8008
052025,8005
062025,7985
072025,7708
082025,7406
092025,7288
102025,7006
012024,7281
022024,7271
032024,7300
042024,7389
052024,7496
062024,7529
072024,7538
082024,7580
092024,7692
102024,7795
112024,7847
122023,7810
012023,7303
022023,7311
032023,7215
042023,7190
052023,7197
062023,7241
072023,7262
082023,7279
092023,7274
102023,7291
112023,7477
122023,7404
012022,6906
022022,7037
032022,6974
042022,6924
052022,6834
062022,6854
072022,6849
082022,6866
092022,6917
102022,7073
112022,7270
122022,7196
012021,6923
022021,6920
032021,6694
042021,6375
052021,6618
062021,6766
072021,6760
082021,6914
092021,6927
102021,6915
112021,6893
122021,6824
012020,6479
022020,6507
032020,6520
042020,6555
052020,6524
062020,6656
072020,6812
082020,6934
092020,6979
102020,6997
112020,7026
122020,7039
012019,5979
022019,6016
032019,6076
042019,6192
052019,6309
062019,6289
072019,6193
082019,6051
092019,6257
102019,6398
112019,6451
122019,6463
012018,5597
022018,5599
032018,5557
042018,5544
052018,5557
062018,5723
072018,5693
082018,5751
092018,5826
102018,5894
112018,5994
122018,5922
012017,5736
022017,5737
032017,5459
042017,5628
052017,5568
062017,5593
072017,5548
082017,5554
092017,5659
102017,5644
112017,5638
122017,5660
012016,5828
022016,5905
032016,5716
042016,5633
052016,5568
062016,5694
072016,5564
082016,5531
092016,5527
102016,5570
112016,5724
122016,5835
012015,4650
022015,4814
032015,4669
042015,4839
052015,5009
062015,5072
072015,5156
082015,5177
092015,5394
102015,5648
112015,5597
122015,5688
012014,4598
022014,4679
032014,4419
042014,4443
052014,4426
062014,4418
072014,4315
082014,4268
092014,4249
102014,4503
112014,4622
122014,4620
012013,4272
022013,4117
032013,3993
042013,4010
052013,4129
062013,4311
072013,4493
082013,4416
092013,4458
102013,4436
112013,4421
122013,4439
012012,4490
022012,4730
032012,4250
042012,4330
052012,4345
062012,4515
072012,4530
082012,4405
092012,4406
102012,4431
112012,4465
122012,4346
012011,4538
022011,4620
032011,4550
042011,4029
052011,3955
062011,4022
072011,3992
082011,3723
092011,3895
102011,4151
112011,4197
122011,4455
